Tournament,Title,Cluster
IIT Bombay Debate (13th),ProAm Finals,9
IIT Bombay Debate (13th),ProAm Semi Finals,0
IIT Bombay Debate (13th),Open Semi Finals,4
IIT Bombay Debate (13th),Novice Pre-Semi Finals,9
IIT Bombay Debate (13th),Open Quarter-Final,6
IIT Bombay Debate (13th),Round 5,2
IIT Bombay Debate (13th),Round 4,9
IIT Bombay Debate (13th),Round 3,4
IIT Bombay Debate (13th),Round 2,9
IIT Bombay Debate (13th),Round 1,7
IIT Bombay Debate (14th),Grand Final,8
IIT Bombay Debate (14th),Novice Finals,8
IIT Bombay Debate (14th),Semifinals,9
IIT Bombay Debate (14th),Novice Semi Final,8
IIT Bombay Debate (14th),Quarterfinals,7
IIT Bombay Debate (14th),Round 5,2
IIT Bombay Debate (14th),Round 4,9
IIT Bombay Debate (14th),Round 3,4
IIT Bombay Debate (14th),Round 2,1
IIT Bombay Debate (14th),Round 1,8
IIT Bombay Debate (15th),Grand Final,8
IIT Bombay Debate (15th),Novice Finals,7
IIT Bombay Debate (15th),Semifinals,0
IIT Bombay Debate (15th),Novice Semifinals,3
IIT Bombay Debate (15th),Quarterfinals,7
IIT Bombay Debate (15th),Round 5,0
IIT Bombay Debate (15th),Round 4,7
IIT Bombay Debate (15th),Round 3,9
IIT Bombay Debate (15th),Round 2,5
IIT Bombay Debate (15th),Round 1,6
IIT Bombay Debate (16th),Grand Final,8
IIT Bombay Debate (16th),Semifinals,9
IIT Bombay Debate (16th),Quarterfinals,8
IIT Bombay Debate (16th),Novice Finals,9
IIT Bombay Debate (16th),Novice Semifinals,8
IIT Bombay Debate (16th),Novice Quarterfinals,7
IIT Bombay Debate (16th),Round 5,7
IIT Bombay Debate (16th),Round 4,7
IIT Bombay Debate (16th),Round 3,4
IIT Bombay Debate (16th),Round 2,8
IIT Bombay Debate (16th),Round 1,7
IIT Bombay Debate (17th),Grand Final,9
IIT Bombay Debate (17th),Novice Finals,8
IIT Bombay Debate (17th),Semifinals,1
IIT Bombay Debate (17th),Novice Semifinals,8
IIT Bombay Debate (17th),Quarterfinals,9
IIT Bombay Debate (17th),Round 5,9
IIT Bombay Debate (17th),Round 4,0
IIT Bombay Debate (17th),Round 3,8
IIT Bombay Debate (17th),Round 2,3
IIT Bombay Debate (17th),Round 1,8
IIT Bombay Debate (18th),Open Grand Final,0
IIT Bombay Debate (18th),Novice Finals,8
IIT Bombay Debate (18th),Open Semifinals,3
IIT Bombay Debate (18th),Open Partial Semifinals,7
IIT Bombay Debate (18th),Round 5,7
IIT Bombay Debate (18th),Round 4,8
IIT Bombay Debate (18th),Round 3,9
IIT Bombay Debate (18th),Round 2,4
IIT Bombay Debate (18th),Round 1,1
IITB Grand Prix 2024,Grand Final,9
IITB Grand Prix 2024,Semifinals,6
IITB Grand Prix 2024,ESL Final,3
IITB Grand Prix 2024,Novice Finals,2
IITB Grand Prix 2024,Pre-Semifinals,0
IITB Grand Prix 2024,Round 5,4
IITB Grand Prix 2024,Round 4,6
IITB Grand Prix 2024,Round 3,0
IITB Grand Prix 2024,Round 2,2
IITB Grand Prix 2024,Round 1,6
IIUM Open 2024,Novice Finals,7
IIUM Open 2024,Novice Semifinals,0
IIUM Open 2024,Grand Final,8
IIUM Open 2024,Semifinals,7
IIUM Open 2024,Quarterfinals,9
IIUM Open 2024,Round 4,9
IIUM Open 2024,Round 3,1
IIUM Open 2024,Round 2,6
IIUM Open 2024,Round 1,5
ILNU BPD 2023,Novice Finals,8
ILNU BPD 2023,Novice Semifinals,8
ILNU BPD 2023,Grand Final,3
ILNU BPD 2023,Semifinals,0
ILNU BPD 2023,Quarterfinals,7
ILNU BPD 2023,Round 5,9
ILNU BPD 2023,Round 4,2
ILNU BPD 2023,Round 3,6
ILNU BPD 2023,Round 2,8
ILNU BPD 2023,Round 1,7
ILNU BPD 2024,Grand Final,7
ILNU BPD 2024,Novice Finals,7
ILNU BPD 2024,Semifinals,8
ILNU BPD 2024,Quarterfinals,0
ILNU BPD 2024,Round 5,8
ILNU BPD 2024,Round 4,0
ILNU BPD 2024,Round 3,1
ILNU BPD 2024,Round 2,5
ILNU BPD 2024,Round 1,0
Imperial IV 2022,Round 1,9
Imperial IV 2022,Round 2,2
Imperial IV 2022,Round 3,5
Imperial IV 2022,Round 4,9
Imperial IV 2022,Round 5,7
Imperial IV 2022,Partial Octofinals,6
Imperial IV 2022,Quarterfinals,0
Imperial IV 2022,Semifinals,9
Imperial IV 2022,Grand Final,3
Imperial IV 2022,ESL Semifinals,0
Imperial IV 2022,ESL Final,9
Imperial IV 2024,Round 1,7
Imperial IV 2024,Round 2,7
Imperial IV 2024,Round 3,8
Imperial IV 2024,Round 4,3
Imperial IV 2024,Round 5,6
Imperial IV 2024,Semifinals,9
Imperial IV 2024,Grand Final,4
Imperial Juniors 2025,Gold Final,8
Imperial Juniors 2025,Silver Final,8
Imperial Juniors 2025,Bronze Final,8
Imperial Juniors 2025,Round 3,7
Imperial Juniors 2025,Round 2,5
Imperial Juniors 2025,Round 1,2
Imperial Open 2025,Grand Final,4
Imperial Open 2025,Semifinals,0
Imperial Open 2025,Novice Finals,4
Imperial Open 2025,ESL Finals,6
Imperial Open 2025,Round 5,6
Imperial Open 2025,Round 4,0
Imperial Open 2025,Round 3,2
Imperial Open 2025,Round 2,7
Imperial Open 2025,Round 1,8
India WUDC Fundraiser 2023,ESL Finals,8
India WUDC Fundraiser 2023,ESL Semifinals,5
India WUDC Fundraiser 2023,Grand Final,9
India WUDC Fundraiser 2023,Semifinals,8
India WUDC Fundraiser 2023,Quarterfinals,5
India WUDC Fundraiser 2023,Round 4,9
India WUDC Fundraiser 2023,Round 3,4
India WUDC Fundraiser 2023,Round 2,6
India WUDC Fundraiser 2023,Round 1,8
Indian Debate Open 2024,School Final,-1
Indian Debate Open 2024,School Pre-Final,-1
Indian Debate Open 2024,Grand Final,6
Indian Debate Open 2024,Semifinals,9
Indian Debate Open 2024,Round 5,6
Indian Debate Open 2024,Round 4,0
Indian Debate Open 2024,Round 3,4
Indian Debate Open 2024,Round 2,7
Indian Debate Open 2024,Round 1,7
Indian WGMDC 2023,Novice Finals,8
Indian WGMDC 2023,Novice Semifinals,4
Indian WGMDC 2023,Grand Final,0
Indian WGMDC 2023,Semifinals,9
Indian WGMDC 2023,Quarterfinals,6
Indian WGMDC 2023,Round 5,2
Indian WGMDC 2023,Round 4,0
Indian WGMDC 2023,Round 3,9
Indian WGMDC 2023,Round 2,9
Indian WGMDC 2023,Round 1,2
Indo-Pacific Pro-Am 2024,AM-AM Final,8
Indo-Pacific Pro-Am 2024,AM-AM Semi Final,6
Indo-Pacific Pro-Am 2024,Grand Final,8
Indo-Pacific Pro-Am 2024,Semifinals,9
Indo-Pacific Pro-Am 2024,Round 4,7
Indo-Pacific Pro-Am 2024,Round 3,9
Indo-Pacific Pro-Am 2024,Round 2,8
Indo-Pacific Pro-Am 2024,Round 1,6
Inner IV 2025,Grand Final,2
Inner IV 2025,Silver Final,8
Inner IV 2025,Round 4,8
Inner IV 2025,Round 3,6
Inner IV 2025,Round 2,8
Inner IV 2025,Round 1,7
Inner Temple IV 2021,Grand Final,4
Inner Temple IV 2021,Semifinals,6
Inner Temple IV 2021,Round 4,2
Inner Temple IV 2021,Round 3,9
Inner Temple IV 2021,Round 2,0
Inner Temple IV 2021,Round 1,7
Intertext Pre-ABP 2023,EFL Finals,3
Intertext Pre-ABP 2023,Grand Final,8
Intertext Pre-ABP 2023,Semifinals,6
Intertext Pre-ABP 2023,Quarterfinals,9
Intertext Pre-ABP 2023,Round 5,6
Intertext Pre-ABP 2023,Round 4,4
Intertext Pre-ABP 2023,Round 3,0
Intertext Pre-ABP 2023,Round 2,9
Intertext Pre-ABP 2023,Round 1,2
Istanbul Open 2024,Grand Final,8
Istanbul Open 2024,Round 5,6
Istanbul Open 2024,Round 4,0
Istanbul Open 2024,Round 3,1
Istanbul Open 2024,Round 2,9
Istanbul Open 2024,Round 1,7
JHU Open 2022,Grand Final,-1
JHU Open 2022,ESL Final,3
JHU Open 2022,Novice Final,8
JHU Open 2022,Semifinals,3
JHU Open 2022,ESL Semifinals,7
JHU Open 2022,Quarterfinals,9
JHU Open 2022,Round 5,7
JHU Open 2022,Round 4,9
JHU Open 2022,Round 3,6
JHU Open 2022,Round 2,0
JHU Open 2022,Round 1,3
JHU Pre-WUDC 2023,Open Grand Finals,5
JHU Pre-WUDC 2023,Open Semis,0
JHU Pre-WUDC 2023,ESL Finals,0
JHU Pre-WUDC 2023,Open Quarters,5
JHU Pre-WUDC 2023,Novice Finals,8
JHU Pre-WUDC 2023,Round 5,3
JHU Pre-WUDC 2023,Round 4,2
JHU Pre-WUDC 2023,Round 3,9
JHU Pre-WUDC 2023,Round 2,6
JHU Pre-WUDC 2023,Round 1,3
Jozi Rumble 2022,Novice Finals,8
Jozi Rumble 2022,Novice Semifinals,2
Jozi Rumble 2022,Grand Final,2
Jozi Rumble 2022,Semifinals,7
Jozi Rumble 2022,Quarterfinals,3
Jozi Rumble 2022,Round 5,2
Jozi Rumble 2022,Round 4,0
Jozi Rumble 2022,Round 3,9
Jozi Rumble 2022,Round 2,7
Jozi Rumble 2022,Round 1,3
Kampala Open 2024,Open Finals,4
Kampala Open 2024,Open Semifinals,9
Kampala Open 2024,Open Quarterfinals,9
Kampala Open 2024,Open Octofinals,5
Kampala Open 2024,Round 5,9
Kampala Open 2024,Round 4,8
Kampala Open 2024,Round 3,6
Kampala Open 2024,Round 2,4
Kampala Open 2024,Round 1,2
Kapala Open 2025,Schools Grand Finals,4
Kapala Open 2025,Novice Grand Finals,4
Kapala Open 2025,Novice Semifinals,9
Kapala Open 2025,Open Grand Finals,4
Kapala Open 2025,Open Semifinals,4
Kapala Open 2025,Open Quarterfinals,8
Kapala Open 2025,Round 5,8
Kapala Open 2025,Round 4,0
Kapala Open 2025,Round 3,7
Kapala Open 2025,Round 2,3
Kapala Open 2025,Round 1,7
KCL Open 2021,Round 1,9
KCL Open 2021,Round 2,0
KCL Open 2021,Round 3,2
KCL Open 2021,Round 4,9
KCL Open 2021,Round 5,0
KCL Open 2021,Open Partial Octofinals,9
KCL Open 2021,Open Quarterfinals,2
KCL Open 2021,ESL Semifinals,2
KCL Open 2021,Open Semifinals,9
KCL Open 2021,ESL Finals,5
KCL Open 2021,Pro-Am Final,5
KCL Open 2021,Grand Final,7
KCL Open 2022,Pro-Am Finals,9
KCL Open 2022,Grand Final,8
KCL Open 2022,Semifinals,0
KCL Open 2022,Round 5,2
KCL Open 2022,Round 4,8
KCL Open 2022,Round 3,0
KCL Open 2022,Round 2,1
KCL Open 2022,Round 1,6
KCL Open 2024,Grand Finals,8
KCL Open 2024,Pro-Am Final,4
KCL Open 2024,ESL Final,7
KCL Open 2024,Semifinal,0
KCL Open 2024,Round 5,4
KCL Open 2024,Round 4,4
KCL Open 2024,Round 3,7
KCL Open 2024,Round 2,9
KCL Open 2024,Round 1,9
KCL Open 2025,Grand Final,3
KCL Open 2025,Semifinals,0
KCL Open 2025,Novice Finals,0
KCL Open 2025,Quarterfinals,7
KCL Open 2025,Round 5,5
KCL Open 2025,Round 4,0
KCL Open 2025,Round 3,9
KCL Open 2025,Round 2,4
KCL Open 2025,Round 1,1
KCL Pro-Am 2020,ESL Final,3
KCL Pro-Am 2020,IV Final,3
KCL Pro-Am 2020,Open Final,3
KCL Pro-Am 2020,Round 4,5
KCL Pro-Am 2020,Round 3,3
KCL Pro-Am 2020,Round 2,5
KCL Pro-Am 2020,Round 1,6
KCL Pro-Am 2022,Bronze Final,-1
KCL Pro-Am 2022,Silver Finals,-1
KCL Pro-Am 2022,Gold Final,1
KCL Pro-Am 2022,Round 4,7
KCL Pro-Am 2022,Round 3,9
KCL Pro-Am 2022,Round 2,8
KCL Pro-Am 2022,Round 1,2
Kinnaird College DC 2022,Grand Finals,4
Kinnaird College DC 2022,Novice Final,-1
Kinnaird College DC 2022,Semifinals,4
Kinnaird College DC 2022,Quarterfinals,8
Kinnaird College DC 2022,Round 5,0
Kinnaird College DC 2022,Round 4,3
Kinnaird College DC 2022,Round 3,8
Kinnaird College DC 2022,Round 2,-1
Kinnaird College DC 2022,Round 1,7
Kinnaird College DC 2023,Grand Final,0
Kinnaird College DC 2023,U19 Final,8
Kinnaird College DC 2023,Semifinals,2
Kinnaird College DC 2023,Round 4,3
Kinnaird College DC 2023,Round 3,2
Kinnaird College DC 2023,Round 2,7
Kinnaird College DC 2023,Round 1,9
KNUST Debate Open 2024,ESL Finals,0
KNUST Debate Open 2024,Grand Final,2
KNUST Debate Open 2024,Semifinals,9
KNUST Debate Open 2024,Round 5,9
KNUST Debate Open 2024,Round 4,8
KNUST Debate Open 2024,Round 3,0
KNUST Debate Open 2024,Round 2,6
KNUST Debate Open 2024,Round 1,7
Kumasi Debate Open 2023,Open Grand Finals,0
Kumasi Debate Open 2023,Novice Grand Finals,7
Kumasi Debate Open 2023,Open Semi Finals,3
Kumasi Debate Open 2023,Novice Semi Finals,9
Kumasi Debate Open 2023,Open Quarter Finals,3
Kumasi Debate Open 2023,Novice Quarter Finals,2
Kumasi Debate Open 2023,Round 7,8
Kumasi Debate Open 2023,Round 6,1
Kumasi Debate Open 2023,Round 5,-1
Kumasi Debate Open 2023,Round 4,2
Kumasi Debate Open 2023,Round 3,3
Kumasi Debate Open 2023,Round 2,8
Kumasi Debate Open 2023,Round 1,5
Kumasi Debate Open 2024,Novice Finals,9
Kumasi Debate Open 2024,Novice Semifinals,8
Kumasi Debate Open 2024,Novice Quarterfinals,7
Kumasi Debate Open 2024,Grand Final,6
Kumasi Debate Open 2024,Semifinals,7
Kumasi Debate Open 2024,Quarterfinals,7
Kumasi Debate Open 2024,Round 7,7
Kumasi Debate Open 2024,Round 6,0
Kumasi Debate Open 2024,Round 5,2
Kumasi Debate Open 2024,Round 4,4
Kumasi Debate Open 2024,Round 3,8
Kumasi Debate Open 2024,Round 2,3
Kumasi Debate Open 2024,Round 1,1
Kyiv Open 2021,Grand Final,6
Kyiv Open 2021,Semifinals,9
Kyiv Open 2021,Round 5,4
Kyiv Open 2021,Round 4,3
Kyiv Open 2021,Round 3,8
Kyiv Open 2021,Round 2,9
Kyiv Open 2021,Round 1,5
Lancaster IV 2025,Grand Final,8
Lancaster IV 2025,Round 4,9
Lancaster IV 2025,Round 3,1
Lancaster IV 2025,Round 2,3
Lancaster IV 2025,Round 1,2
Leiden Open 2023,Pro-Am Final,8
Leiden Open 2023,Grand Final,8
Leiden Open 2023,Semifinals,7
Leiden Open 2023,Round 5,2
Leiden Open 2023,Round 4,9
Leiden Open 2023,Round 3,6
Leiden Open 2023,Round 2,8
Leiden Open 2023,Round 1,1
Leiden Open 2024,Novice Finals,8
Leiden Open 2024,Pro-Am Finals,8
Leiden Open 2024,Open Finals,3
Leiden Open 2024,Open Semifinals,7
Leiden Open 2024,Round 5 (Closed),0
Leiden Open 2024,Round 4 (Closed),4
Leiden Open 2024,Round 3,9
Leiden Open 2024,Round 2,6
Leiden Open 2024,Round 1,8
Leiden Open 2025,Grand Final,8
Leiden Open 2025,Partial Semifinals,9
Leiden Open 2025,Novice Finals,9
Leiden Open 2025,Round 5,3
Leiden Open 2025,Round 4,0
Leiden Open 2025,Round 3,8
Leiden Open 2025,Round 2,2
Leiden Open 2025,Round 1,2
Linkbate DC 2024,Grand Final,3
Linkbate DC 2024,High School Grand Final,9
Linkbate DC 2024,Semifinals,4
Linkbate DC 2024,High School Semifinals,1
Linkbate DC 2024,Quarterfinals,1
Linkbate DC 2024,Round 5,7
Linkbate DC 2024,Round 4,8
Linkbate DC 2024,Round 3,6
Linkbate DC 2024,Round 2,9
Linkbate DC 2024,Round 1,8
Linkbate DC 6,Open Grand Final,3
Linkbate DC 6,U16 Grand Final,4
Linkbate DC 6,Open Semifinals,4
Linkbate DC 6,U16 Semifinals,2
Linkbate DC 6,Open Quarterfinals,8
Linkbate DC 6,Open Octofinals,0
Linkbate DC 6,Round 4,5
Linkbate DC 6,Round 3,9
Linkbate DC 6,Round 2,2
Linkbate DC 6,Round 1,5
Linkbate DC 7,Open Grand Final,3
Linkbate DC 7,U16 Grand Final,5
Linkbate DC 7,U16 Semifinals,7
Linkbate DC 7,Open Semifinals,8
Linkbate DC 7,U16 Pre-Semifinals,0
Linkbate DC 7,Open Quarterfinals,0
Linkbate DC 7,Round 5,7
Linkbate DC 7,Round 4,3
Linkbate DC 7,Round 3,9
Linkbate DC 7,Round 2,1
Linkbate DC 7,Round 1,5
Linkbate DC 8,Open Grand Final,3
Linkbate DC 8,U16 Grand Final,9
Linkbate DC 8,Open Semifinals,8
Linkbate DC 8,U16 Semifinals,9
Linkbate DC 8,Open Quarterfinals,9
Linkbate DC 8,Open Partial Double Quarterfinals,8
Linkbate DC 8,Round 5,5
Linkbate DC 8,Round 4,6
Linkbate DC 8,Round 3,5
Linkbate DC 8,Round 2,8
Linkbate DC 8,Round 1,8
Liverpool IV 2023,Round 1,2
Liverpool IV 2023,Round 2,3
Liverpool IV 2023,Round 3,1
Liverpool IV 2023,Round 4,9
Liverpool IV 2023,Grand Final,0
Liverpool IV 2023,Silver Finals,6
Liverpool IV 2023,Pro-Am Finals,3
Ljubljana IV 2022,Grand Final,0
Ljubljana IV 2022,Semifinals,7
Ljubljana IV 2022,Round 5,9
Ljubljana IV 2022,Round 4,2
Ljubljana IV 2022,Round 3,4
Ljubljana IV 2022,Round 2,6
Ljubljana IV 2022,Round 1,5
Ljubljana IV 2023,Test,-1
Ljubljana IV 2023,ProAm Finals,8
Ljubljana IV 2023,Grand Final,2
Ljubljana IV 2023,Semifinals,0
Ljubljana IV 2023,Round 5,7
Ljubljana IV 2023,Round 4,8
Ljubljana IV 2023,Round 3,7
Ljubljana IV 2023,Round 2,7
Ljubljana IV 2023,Round 1,9
Ljubljana IV 2024,Novice Finals,0
Ljubljana IV 2024,Grand Final,3
Ljubljana IV 2024,Semifinals,7
Ljubljana IV 2024,Round 5,9
Ljubljana IV 2024,Round 4,9
Ljubljana IV 2024,Round 3,2
Ljubljana IV 2024,Round 2,7
Ljubljana IV 2024,Round 1,8
LSE IV 2022,Pro-Am Final,5
LSE IV 2022,Grand Final,3
LSE IV 2022,Semifinals,7
LSE IV 2022,Round 5,3
LSE IV 2022,Round 4,6
LSE IV 2022,Round 3,9
LSE IV 2022,Round 2,2
LSE IV 2022,Round 1,0
LSE IV 2023,Pro-Am Finals,8
LSE IV 2023,ESL Finals,7
LSE IV 2023,Grand Final,8
LSE IV 2023,Semifinals,7
LSE IV 2023,Quarterfinals,9
LSE IV 2023,Round 5,3
LSE IV 2023,Round 4,2
LSE IV 2023,Round 3,0
LSE IV 2023,Round 2,3
LSE IV 2023,Round 1,6
LSE IV 2024,Novice Finals,8
LSE IV 2024,Grand Final,8
LSE IV 2024,Semifinals,4
LSE IV 2024,Quarterfinals,6
LSE IV 2024,Round 5,9
LSE IV 2024,Round 4,6
LSE IV 2024,Round 3,9
LSE IV 2024,Round 2,1
LSE IV 2024,Round 1,6
LSE Open 2022,Novice Finals,7
LSE Open 2022,ESL Finals,8
LSE Open 2022,ESL Semifinals,4
LSE Open 2022,Grand Final,7
LSE Open 2022,Semifinals,8
LSE Open 2022,Quarterfinals,4
LSE Open 2022,Round 5 (Closed),7
LSE Open 2022,Round 4 (Closed),0
LSE Open 2022,Round 3,7
LSE Open 2022,Round 2,9
LSE Open 2022,Round 1,2
LSE Open 2023,Round 1,1
LSE Open 2023,Round 2,7
LSE Open 2023,Round 3,9
LSE Open 2023,Round 4,6
LSE Open 2023,Round 5,3
LSE Open 2023,Partial Semi-Finals,4
LSE Open 2023,Semifinals,0
LSE Open 2023,Pro-Am Final,8
LSE Open 2023,Grand Final,8
LSE Open 2024,Novice Final,7
LSE Open 2024,ESL Final,6
LSE Open 2024,Grand Final,3
LSE Open 2024,Semifinals,6
LSE Open 2024,Quarterfinals,1
LSE Open 2024,Round 5,9
LSE Open 2024,Round 4,2
LSE Open 2024,Round 3,0
LSE Open 2024,Round 2,3
LSE Open 2024,Round 1,4
LSE Open 2025,Novice Finals,3
LSE Open 2025,ESL Finals,8
LSE Open 2025,Grand Final,7
LSE Open 2025,Semifinals,0
LSE Open 2025,Quarterfinals,8
LSE Open 2025,Round 5,7
LSE Open 2025,Round 4,2
LSE Open 2025,Round 3,9
LSE Open 2025,Round 2,2
LSE Open 2025,Round 1,7
LSE Seniors 2022,Novice Finals,8
LSE Seniors 2022,Silver Finals,8
LSE Seniors 2022,Gold Final,5
LSE Seniors 2022,Round 4,2
LSE Seniors 2022,Round 3,0
LSE Seniors 2022,Round 2,7
LSE Seniors 2022,Round 1,0
Lubart Open 2021,Grand Final,3
Lubart Open 2021,Semifinals,9
Lubart Open 2021,Round 5,3
Lubart Open 2021,Round 4,9
Lubart Open 2021,Round 3,9
Lubart Open 2021,Round 2,8
Lubart Open 2021,Round 1,2
LUMS IV 2021,Novice Finals,7
LUMS IV 2021,Grand Final,7
LUMS IV 2021,Semifinals,0
LUMS IV 2021,Pre-Semifinals,6
LUMS IV 2021,Round 5,8
LUMS IV 2021,Round 4,0
LUMS IV 2021,Round 3,3
LUMS IV 2021,Round 2,7
LUMS IV 2021,Round 1,7
LUMS Pre-ABP 2024,Novice Finals,0
LUMS Pre-ABP 2024,Novice Semifinals,9
LUMS Pre-ABP 2024,Grand Final,0
LUMS Pre-ABP 2024,Semifinals,0
LUMS Pre-ABP 2024,Quarterfinals,8
LUMS Pre-ABP 2024,Round 5,8
LUMS Pre-ABP 2024,Round 4,9
LUMS Pre-ABP 2024,Round 3,5
LUMS Pre-ABP 2024,Round 2,6
LUMS Pre-ABP 2024,Round 1,2
Luzon IV 2021,Grand Final,7
Luzon IV 2021,Semifinals,9
Luzon IV 2021,Novice Final,4
Luzon IV 2021,Quarterfinals,9
Luzon IV 2021,Novice Semifinals,6
Luzon IV 2021,Octofinals,0
Luzon IV 2021,Round 6,5
Luzon IV 2021,Round 5,8
Luzon IV 2021,Round 4,8
Luzon IV 2021,Round 3,0
Luzon IV 2021,Round 2,7
Luzon IV 2021,Round 1,2
Luzon IV 2022,Grand Final,4
Luzon IV 2022,Open Semifinals,8
Luzon IV 2022,Open Quarterfinals,6
Luzon IV 2022,Novice Final,0
Luzon IV 2022,Novice Semifinals,6
Luzon IV 2022,Round 5,8
Luzon IV 2022,Round 4,4
Luzon IV 2022,Round 3,2
Luzon IV 2022,Round 2,9
Luzon IV 2022,Round 1,8
Luzon IV 2023,Novice Finals,0
Luzon IV 2023,Novice Semifinals,5
Luzon IV 2023,Grand Final,3
Luzon IV 2023,Semifinals,0
Luzon IV 2023,Quarterfinals,0
Luzon IV 2023,Round 5,4
Luzon IV 2023,Round 4,2
Luzon IV 2023,Round 3,9
Luzon IV 2023,Round 2,9
Luzon IV 2023,Round 1,0
Luzon IV 2024,High School Final,0
Luzon IV 2024,Novice Final,6
Luzon IV 2024,Grand Final,9
Luzon IV 2024,Semifinals,2
Luzon IV 2024,Pre-semifinals,7
Luzon IV 2024,Round 4,0
Luzon IV 2024,Round 3,0
Luzon IV 2024,Round 2,9
Luzon IV 2024,Round 1,5
Macau Debate Open 2025,Schools Final,3
Macau Debate Open 2025,Novice Final,8
Macau Debate Open 2025,Novice Semifinals,3
Macau Debate Open 2025,Novice Quarterfinals,9
Macau Debate Open 2025,Grand Final,8
Macau Debate Open 2025,Semifinals,4
Macau Debate Open 2025,Quarterfinals,7
Macau Debate Open 2025,Round 5,2
Macau Debate Open 2025,Round 4,8
Macau Debate Open 2025,Round 3,3
Macau Debate Open 2025,Round 2,1
Macau Debate Open 2025,Round 1,9
Mahasangram 2021,Novice Finals,0
Mahasangram 2021,Grand Final,0
Mahasangram 2021,Semifinals,9
Mahasangram 2021,Round 5,2
Mahasangram 2021,Round 4,7
Mahasangram 2021,Round 3,9
Mahasangram 2021,Round 2,-1
Mahasangram 2021,Round 1,5
Mahasangram 2024,Grand Final,9
Mahasangram 2024,School Finals,4
Mahasangram 2024,Novice Finals,8
Mahasangram 2024,Semi Finals,8
Mahasangram 2024,Quarter Final,0
Mahasangram 2024,Round 5,3
Mahasangram 2024,Round 4,3
Mahasangram 2024,Round 3,9
Mahasangram 2024,Round 2,8
Mahasangram 2024,Round 1,7
Makiling Pre-ABP 2023,Grand Final,8
Makiling Pre-ABP 2023,Semifinals,8
Makiling Pre-ABP 2023,Novice Final,8
Makiling Pre-ABP 2023,Quarterfinals,7
Makiling Pre-ABP 2023,Round 4,9
Makiling Pre-ABP 2023,Round 3,9
Makiling Pre-ABP 2023,Round 2,7
Makiling Pre-ABP 2023,Round 1,8
Malaysia BP 2022,Novice Finals,8
Malaysia BP 2022,Novice Semifinals,-1
Malaysia BP 2022,Grand Final,6
Malaysia BP 2022,Semifinals,9
Malaysia BP 2022,Quarterfinals,8
Malaysia BP 2022,Round 4,7
Malaysia BP 2022,Round 3,6
Malaysia BP 2022,Round 2,3
Malaysia BP 2022,Round 1,2
Malaysia BP 2023,Novice Finals,8
Malaysia BP 2023,Grand Final,-1
Malaysia BP 2023,Semifinals,0
Malaysia BP 2023,Round 4,-1
Malaysia BP 2023,Round 3,3
Malaysia BP 2023,Round 2,9
Malaysia BP 2023,Round 1,7
Malaysia BP 2024,Novice Finals,5
Malaysia BP 2024,Grand Final,3
Malaysia BP 2024,Semifinals,0
Malaysia BP 2024,Round 4,2
Malaysia BP 2024,Round 3,9
Malaysia BP 2024,Round 2,8
Malaysia BP 2024,Round 1,5
Malaysia IV 2020,Novice Finals,-1
Malaysia IV 2020,Novice Semifinals,-1
Malaysia IV 2020,Grand Final,-1
Malaysia IV 2020,Semifinals,-1
Malaysia IV 2020,Quarterfinals,-1
Malaysia IV 2020,Round 4,-1
Malaysia IV 2020,Round 3,-1
Malaysia IV 2020,Round 2,-1
Malaysia IV 2020,Round 1,-1
Malyasia Online Debate Open 2025,Novice Finals,5
Malyasia Online Debate Open 2025,Novice Semifinals,9
Malyasia Online Debate Open 2025,Grand Final,3
Malyasia Online Debate Open 2025,Semifinals,0
Malyasia Online Debate Open 2025,Quarterfinals,8
Malyasia Online Debate Open 2025,Pre Quarter Finals,9
Malyasia Online Debate Open 2025,Round 4,8
Malyasia Online Debate Open 2025,Round 3,2
Malyasia Online Debate Open 2025,Round 2,5
Malyasia Online Debate Open 2025,Round 1,5
Manchester IV 2023,Pro-Am Finals,7
Manchester IV 2023,Grand Final,0
Manchester IV 2023,Semifinals,4
Manchester IV 2023,Round 5,5
Manchester IV 2023,Round 4,8
Manchester IV 2023,Round 3,9
Manchester IV 2023,Round 2,7
Manchester IV 2023,Round 1,8
Manchester IV 2024,Grand Final,8
Manchester IV 2024,Semifinals,0
Manchester IV 2024,Round 5,9
Manchester IV 2024,Round 4,3
Manchester IV 2024,Round 3,9
Manchester IV 2024,Round 2,8
Manchester IV 2024,Round 1,2
Manchester IV 2025,Novice Finals,3
Manchester IV 2025,Grand Final,5
Manchester IV 2025,Semifinals,9
Manchester IV 2025,Round 5,8
Manchester IV 2025,Round 4,7
Manchester IV 2025,Round 3,8
Manchester IV 2025,Round 2,1
Manchester IV 2025,Round 1,6
Manchester Novices 2023,Non-schools Finals,4
Manchester Novices 2023,Silver Finals,3
Manchester Novices 2023,Grand Final,7
Manchester Novices 2023,Round 4,8
Manchester Novices 2023,Round 3,9
Manchester Novices 2023,Round 2,2
Manchester Novices 2023,Round 1,6
Manchester Schools 2023,Novice Finals,5
Manchester Schools 2023,Grand Final,9
Manchester Schools 2023,Round 4,5
Manchester Schools 2023,Round 3,3
Manchester Schools 2023,Round 2,9
Manchester Schools 2023,Round 1,8
Manzar 2024,Grand Final,9
Manzar 2024,Novice Finals,3
Manzar 2024,Semifinals,0
